from,to,type,price,Pickup-time,Drop-off-time
Yeshwantpur Bus Stand,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,480.47",2023-10-22 23:24:50.514143,0:05
Yeshwantpur Bus Stand,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹795.91,2023-10-22 23:24:50.515153,0:00
Yelahanka,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹442.49,2023-10-22 23:25:12.582794,23:45
Yelahanka,Kempegowda International Airport Bengaluru,PremierPerson4,₹519.20,2023-10-22 23:25:12.583794,23:45
Yelahanka,Kempegowda International Airport Bengaluru,UberXLPerson6,₹815.09,2023-10-22 23:25:12.583794,23:47
Yelahanka,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹468.06,2023-10-22 23:25:12.584789,23:45
Whitefield,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹788.37,2023-10-22 23:25:33.753525,0:29
Whitefield,Kempegowda International Airport Bengaluru,PremierPerson4,₹978.53,2023-10-22 23:25:33.753525,0:29
Whitefield,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,712.80",2023-10-22 23:25:33.753525,0:31
Whitefield,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹851.76,2023-10-22 23:25:33.754525,0:29
Vajarahalli,Kempegowda International Airport Bengaluru,Uber GoPerson4,"₹1,243.56",2023-10-22 23:25:56.034847,0:46
Vajarahalli,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,"₹1,329.65",2023-10-22 23:25:56.034847,0:45
Vajarahalli,Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,501.78",2023-10-22 23:25:56.034847,0:47
Vajarahalli,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹2,500.21",2023-10-22 23:25:56.035854,0:49
Electronic City,Kempegowda International Airport Bengaluru,Uber GoPerson4,"₹1,324.99",2023-10-22 23:26:17.790294,0:36
Electronic City,Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,603.22",2023-10-22 23:26:17.791294,0:37
Electronic City,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹2,678.84",2023-10-22 23:26:17.791294,0:39
Electronic City,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,"₹1,417.74",2023-10-22 23:26:17.792294,0:37
Nagarabhavi,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹969.88,2023-10-22 23:26:39.161626,0:18
Nagarabhavi,Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,176.29",2023-10-22 23:26:39.161626,0:20
Nagarabhavi,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,974.25",2023-10-22 23:26:39.161626,0:20
Nagarabhavi,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,"₹1,038.68",2023-10-22 23:26:39.162625,0:18
Kalyan Nagar,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹741.96,2023-10-22 23:27:00.381005,0:02
Kalyan Nagar,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹792.07,2023-10-22 23:27:00.382006,0:01
Kalyan Nagar,Kempegowda International Airport Bengaluru,PremierPerson4,₹892.31,2023-10-22 23:27:00.382006,0:02
Kalyan Nagar,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,473.48",2023-10-22 23:27:00.383005,0:04
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",UberGoPerson4,"₹1,184.32",2023-10-22 23:42:21.321869,0:45
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",PremierPerson4,"₹1,426.87",2023-10-22 23:42:21.321869,0:44
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",UberXLPerson6,"₹2,067.28",2023-10-22 23:42:21.322868,0:48
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",Go SedanPerson4,"₹1,342.91",2023-10-22 23:42:21.322868,0:43
Kempegowda International Airport Bengaluru,Koramangala,UberGoPerson4,"₹1,112.47",2023-10-22 23:42:42.813351,0:43
Kempegowda International Airport Bengaluru,Koramangala,PremierPerson4,"₹1,336.81",2023-10-22 23:42:42.814350,0:43
Kempegowda International Airport Bengaluru,Koramangala,UberXLPerson6,"₹1,922.20",2023-10-22 23:42:42.814350,0:46
Kempegowda International Airport Bengaluru,Koramangala,Go SedanPerson4,"₹1,257.92",2023-10-22 23:42:42.814350,0:42
Kempegowda International Airport Bengaluru,Indiranagar,UberGoPerson4,"₹1,044.69",2023-10-22 23:43:03.099849,0:35
Kempegowda International Airport Bengaluru,Indiranagar,PremierPerson4,"₹1,251.85",2023-10-22 23:43:03.099849,0:35
Kempegowda International Airport Bengaluru,Indiranagar,UberXLPerson6,"₹1,785.33",2023-10-22 23:43:03.099849,0:38
Kempegowda International Airport Bengaluru,Indiranagar,Go SedanPerson4,"₹1,177.72",2023-10-22 23:43:03.100849,0:34
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,UberGoPerson4,₹974.40,2023-10-22 23:43:22.301313,0:26
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,PremierPerson4,"₹1,163.75",2023-10-22 23:43:22.302314,0:26
