from,to,type,price,Pickup-time,Drop-off-time
"Marathahalli, Bengaluru, Karnataka",Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,108.61",2023-10-22 12:56:11.863060,14:03
"Marathahalli, Bengaluru, Karnataka",Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,853.91",2023-10-22 12:56:11.863060,14:03
Koramangala,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹858.71,2023-10-22 12:56:32.897876,14:09
Koramangala,Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,037.77",2023-10-22 12:56:32.897876,14:10
Koramangala,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,729.89",2023-10-22 12:56:32.898858,14:08
Koramangala,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹918.39,2023-10-22 12:56:32.899879,14:09
Indiranagar,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹796.69,2023-10-22 12:56:54.465554,13:55
Indiranagar,Kempegowda International Airport Bengaluru,PremierPerson4,₹960.50,2023-10-22 12:56:54.465554,13:56
Indiranagar,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,593.00",2023-10-22 12:56:54.466539,13:56
Indiranagar,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹851.29,2023-10-22 12:56:54.467539,13:55
Yeshwantpur Bus Stand,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹701.34,2023-10-22 12:57:16.140936,13:35
Yeshwantpur Bus Stand,Kempegowda International Airport Bengaluru,PremierPerson4,₹841.72,2023-10-22 12:57:16.140936,13:35
Yeshwantpur Bus Stand,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,383.57",2023-10-22 12:57:16.140936,13:37
Yeshwantpur Bus Stand,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹748.14,2023-10-22 12:57:16.141936,13:35
Yelahanka,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹432.30,2023-10-22 12:57:37.126041,13:17
Yelahanka,Kempegowda International Airport Bengaluru,PremierPerson4,₹506.50,2023-10-22 12:57:37.127008,13:18
Yelahanka,Kempegowda International Airport Bengaluru,UberXLPerson6,₹792.72,2023-10-22 12:57:37.127008,13:20
